team,type,possession_time,avg_gain,safeties,turnovers,play_count,rush_plays,total_yards,fumbles,lost_fumbles,penalties,penalty_yards,return_yards,avg_yards,attempts,touchdowns,tlost,tlost_yards,yards,longest,redzone_attempts,broken_tackles,kneel_downs,scrambles,yards_after_contact
Eagles,1,39:28,5.7,0,1,75,48,430,1,0,7,45,2,5.396,48,3,1,-3,259,43,10,8,0,4,68
Vikings,0,20:32,6.8,0,4,55,9,374,4,4,2,15,19,3.111,9,0,1,-2,28,7,1,0,0,0,0
Buccaneers,1,35:56,6.4,0,0,68,34,437,2,0,7,54,15,3.529,34,1,4,-10,120,14,5,6,2,3,60
Bears,0,24:04,4.6,0,2,51,16,236,2,0,5,28,0,4.188,16,1,3,-14,67,29,2,7,0,0,30
Falcons,1,36:15,5.7,0,1,78,45,446,0,0,6,110,20,4.689,45,1,3,-4,211,19,9,1,1,5,82
Packers,0,23:45,4.8,0,0,47,21,224,0,0,7,40,-2,4.0,21,0,1,-5,84,24,4,0,1,1,40
Texans,1,34:58,4.9,0,1,79,26,389,3,1,3,20,20,2.0,26,0,4,-14,52,10,6,1,1,1,26
Colts,0,25:02,6.3,0,0,56,23,353,1,0,8,42,0,5.478,23,3,0,0,126,18,4,2,0,2,37
Lions,1,30:48,6.5,0,3,64,27,418,2,2,4,24,17,3.778,27,1,4,-9,102,16,4,6,0,0,36
Seahawks,0,33:31,5.9,0,0,67,25,393,0,0,9,80,40,3.28,25,2,1,-5,82,15,8,5,0,3,33
Titans,1,36:49,5.4,0,0,63,34,341,0,0,7,45,11,4.147,34,2,3,-6,141,23,6,2,0,0,74
Chargers,0,28:09,5.3,0,0,65,21,342,0,0,4,43,63,2.905,21,0,2,-4,61,15,4,0,0,0,21
Bengals,1,26:56,4.9,0,1,57,15,282,0,0,5,30,81,4.4,15,0,0,0,66,14,5,0,0,1,25
Ravens,0,33:04,5.9,0,0,70,37,415,0,0,6,56,38,4.811,37,1,1,-1,178,20,6,0,1,6,47
Bills,1,40:04,6.1,0,0,74,35,450,0,0,4,30,3,5.229,35,2,2,-3,183,36,12,1,2,0,89
Raiders,0,19:56,6.2,0,3,39,15,240,1,1,2,30,0,3.667,15,0,3,-8,55,34,1,0,0,1,13
Jaguars,1,28:11,4.2,0,1,64,18,271,3,1,2,10,5,4.111,18,0,2,-8,74,18,4,3,0,3,16
Chiefs,0,31:49,6.2,0,3,64,22,399,4,2,12,94,8,4.591,22,0,1,-2,101,31,6,3,3,3,19
Rams,1,33:11,4.9,0,2,78,22,386,0,0,6,55,11,4.045,22,1,1,-1,89,11,6,0,0,3,35
49ers,0,26:49,6.8,0,0,54,28,365,2,0,6,57,37,5.679,28,3,1,0,159,51,8,0,0,0,97
Cardinals,1,30:37,6.3,0,0,60,29,379,0,0,8,57,35,5.207,29,2,7,-9,151,23,3,4,0,1,32
Giants,0,29:23,6.6,0,1,67,27,439,0,0,9,75,14,4.704,27,2,2,-6,127,16,7,3,0,5,36
Cowboys,1,42:15,4.6,0,0,83,44,382,1,0,6,38,40,3.045,44,0,6,-15,134,23,15,2,4,1,55
Jets,0,17:45,4.7,0,4,46,16,215,1,1,5,29,7,4.0,16,0,3,-8,64,16,0,2,0,4,10
Broncos,1,26:15,6.4,0,2,62,23,399,1,1,9,58,45,5.304,23,1,1,-2,122,15,4,2,0,3,43
Commanders,0,33:45,5.9,0,0,66,23,388,2,0,8,71,12,5.304,23,2,2,-7,122,27,4,3,0,2,99
Patriots,1,29:41,4.1,0,2,71,25,288,1,1,5,45,12,3.52,25,1,3,-7,88,18,3,3,1,1,8
Dolphins,0,30:19,6.4,0,1,61,30,389,2,0,6,46,27,4.833,30,2,5,-8,145,43,4,3,2,1,17
Panthers,1,27:11,4.3,0,1,56,19,239,1,1,6,35,26,5.263,19,0,1,-4,100,26,1,0,0,2,40
Saints,0,32:49,4.6,0,1,74,33,341,0,0,3,32,16,4.061,33,2,2,-3,134,19,7,3,3,1,76
Steelers,1,24:32,4.8,0,2,53,21,255,1,1,5,31,44,2.619,21,0,4,-10,55,21,0,3,3,0,52
Browns,0,35:28,5.0,0,4,81,35,408,4,3,8,81,0,5.657,35,1,4,-6,198,69,3,3,0,3,84
